date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:13:58	20119/20119	---M--	200	added ('OK')	image/png	etag:%224e97-58314a01-fc250;;;%22	https://demo.graygrids.com/themes/impression/assets/img/sponsors/logo-04.png	C:/My%20Web%20Sites/Template/demo.graygrids.com/themes/impression/assets/img/sponsors/logo-04.png	(from https://demo.graygrids.com/themes/impression/)
22:13:58	41943/41943	---M--	200	added ('OK')	image/jpeg	etag:%22a3d7-583149e1-fc25d;;;%22	https://demo.graygrids.com/themes/impression/assets/img/gallery/img-1.jpg	C:/My%20Web%20Sites/Template/demo.graygrids.com/themes/impression/assets/img/gallery/img-1.jpg	(from https://demo.graygrids.com/themes/impression/)
22:13:58	29862/29862	---M--	200	added ('OK')	image/jpeg	etag:%2274a6-583149e2-fc257;;;%22	https://demo.graygrids.com/themes/impression/assets/img/gallery/img-2.jpg	C:/My%20Web%20Sites/Template/demo.graygrids.com/themes/impression/assets/img/gallery/img-2.jpg	(from https://demo.graygrids.com/themes/impression/)
22:13:59	16310/16310	---M--	200	added ('OK')	image/jpeg	etag:%223fb6-583149e3-fc259;;;%22	https://demo.graygrids.com/themes/impression/assets/img/gallery/img-3.jpg	C:/My%20Web%20Sites/Template/demo.graygrids.com/themes/impression/assets/img/gallery/img-3.jpg	(from https://demo.graygrids.com/themes/impression/)
22:13:59	21574/21574	---M--	200	added ('OK')	image/jpeg	etag:%225446-583149e9-fc25b;;;%22	https://demo.graygrids.com/themes/impression/assets/img/gallery/lagre-3.jpg	C:/My%20Web%20Sites/Template/demo.graygrids.com/themes/impression/assets/img/gallery/lagre-3.jpg	(from https://demo.graygrids.com/themes/impression/)
22:13:59	18496/18496	---M--	200	added ('OK')	image/jpeg	etag:%224840-583149e4-fc256;;;%22	https://demo.graygrids.com/themes/impression/assets/img/gallery/img-4.jpg	C:/My%20Web%20Sites/Template/demo.graygrids.com/themes/impression/assets/img/gallery/img-4.jpg	(from https://demo.graygrids.com/themes/impression/)
22:13:59	43183/43183	---M--	200	added ('OK')	image/jpeg	etag:%22a8af-583149e5-fc25a;;;%22	https://demo.graygrids.com/themes/impression/assets/img/gallery/img-5.jpg	C:/My%20Web%20Sites/Template/demo.graygrids.com/themes/impression/assets/img/gallery/img-5.jpg	(from https://demo.graygrids.com/themes/impression/)
22:14:00	38961/38961	---M--	200	added ('OK')	image/jpeg	etag:%229831-583149e6-fc258;;;%22	https://demo.graygrids.com/themes/impression/assets/img/gallery/img-6.jpg	C:/My%20Web%20Sites/Template/demo.graygrids.com/themes/impression/assets/img/gallery/img-6.jpg	(from https://demo.graygrids.com/themes/impression/)
22:14:00	52999/52999	---M--	200	added ('OK')	image/jpeg	etag:%22cf07-583149e8-fc25c;;;%22	https://demo.graygrids.com/themes/impression/assets/img/gallery/img-7.jpg	C:/My%20Web%20Sites/Template/demo.graygrids.com/themes/impression/assets/img/gallery/img-7.jpg	(from https://demo.graygrids.com/themes/impression/)
22:14:00	72490/72490	---M--	200	added ('OK')	image/png	etag:%2211b2a-58314a02-fc242;;;%22	https://demo.graygrids.com/themes/impression/assets/img/teacher/img-1.png	C:/My%20Web%20Sites/Template/demo.graygrids.com/themes/impression/assets/img/teacher/img-1.png	(from https://demo.graygrids.com/themes/impression/)
22:14:00	66424/66424	---M--	200	added ('OK')	image/png	etag:%2210378-58314a03-fc240;;;%22	https://demo.graygrids.com/themes/impression/assets/img/teacher/img-2.png	C:/My%20Web%20Sites/Template/demo.graygrids.com/themes/impression/assets/img/teacher/img-2.png	(from https://demo.graygrids.com/themes/impression/)
